2019/06/16 22:52:51 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877073" "./SAMEA1877073" "-vv"]
2019/06/16 22:52:51 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:52:53 DEBUG : Keeping previous permissions for config file: -rw-r--r--
2019/06/16 22:52:53 DEBUG : onedrive-em: Saved new token in config file
2019/06/16 22:52:55 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877073: Modify window is 1s
2019/06/16 22:52:57 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:52:57 INFO  : snps.bed: Copied (new)
2019/06/16 22:53:00 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:53:01 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:53:01 INFO  : snps.csv: Copied (new)
2019/06/16 22:53:02 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:53:02 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:53:03 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:53:04 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:53:04 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:53:05 INFO  : snps.gff: Copied (new)
2019/06/16 22:53:05 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:53:05 INFO  : snps.depth.gz: Copied (new)
2019/06/16 22:53:06 INFO  : snps.log: Copied (new)
2019/06/16 22:53:06 INFO  : snps.html: Copied (new)
2019/06/16 22:53:06 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:53:07 INFO  : snps.txt: Copied (new)
2019/06/16 22:53:07 INFO  : snps.tab: Copied (new)
2019/06/16 22:53:07 INFO  : snps.vcf: Copied (new)
2019/06/16 22:53:07 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:53:08 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 22:53:08 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 22:53:09 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 22:53:09 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 22:53:10 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 22:53:11 INFO  : reference/ref.fa: Copied (new)
2019/06/16 22:53:12 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 22:53:12 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877073: Waiting for checks to finish
2019/06/16 22:53:12 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877073: Waiting for transfers to finish
2019/06/16 22:53:12 INFO  : reference/ref.txt: Copied (new)
2019/06/16 22:53:13 INFO  : reference/ref.gff: Copied (new)
2019/06/16 22:53:13 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 22:53:14 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 22:53:16 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 22:53:16 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 22:53:16 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 22:53:55 INFO  : 
Transferred:   120.805 MBytes (1.897 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      1m3.6s
Transferring:
 *                                      snps.bam: 12% /504.744M, 1023.650k/s, 7m20s

2019/06/16 22:54:55 INFO  : 
Transferred:   152.805 MBytes (1.236 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      2m3.6s
Transferring:
 *                                      snps.bam: 19% /504.744M, 540.886k/s, 12m53s

2019/06/16 22:55:55 INFO  : 
Transferred:   216.805 MBytes (1.180 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      3m3.6s
Transferring:
 *                                      snps.bam: 31% /504.744M, 668.868k/s, 8m47s

2019/06/16 22:56:55 INFO  : 
Transferred:   256.805 MBytes (1.054 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      4m3.6s
Transferring:
 *                                      snps.bam: 39% /504.744M, 614.194k/s, 8m28s

2019/06/16 22:57:55 INFO  : 
Transferred:   488.805 MBytes (1.610 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           34
Elapsed time:      5m3.6s
Transferring:
 *                                      snps.bam: 85% /504.744M, 7.221M/s, 10s

2019/06/16 22:58:01 INFO  : snps.bam: Copied (new)
2019/06/16 22:58:01 INFO  : 
Transferred:   561.553 MBytes (1.813 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:      5m9.6s

2019/06/16 22:58:01 DEBUG : 7 go routines active
2019/06/16 22:58:01 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877073" "./SAMEA1877073" "-vv"]
2019/06/16 22:58:01 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877098" "./SAMEA1877098" "-vv"]
2019/06/16 22:58:01 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:58:02 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877098: Modify window is 1s
2019/06/16 22:58:04 INFO  : snps.bed: Copied (new)
2019/06/16 22:58:04 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:58:08 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:58:08 INFO  : snps.csv: Copied (new)
2019/06/16 22:58:09 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:58:09 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:58:09 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:58:10 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:58:11 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:58:11 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:58:11 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:58:12 INFO  : snps.gff: Copied (new)
2019/06/16 22:58:12 INFO  : snps.html: Copied (new)
2019/06/16 22:58:12 INFO  : snps.log: Copied (new)
2019/06/16 22:58:12 INFO  : snps.depth.gz: Copied (new)
2019/06/16 22:58:13 INFO  : snps.txt: Copied (new)
2019/06/16 22:58:13 INFO  : snps.tab: Copied (new)
2019/06/16 22:58:14 INFO  : snps.raw.vcf: Copied (new)
2019/06/16 22:58:14 INFO  : snps.vcf.gz: Copied (new)
2019/06/16 22:58:14 INFO  : snps.vcf.gz.tbi: Copied (new)
2019/06/16 22:58:14 INFO  : snps.vcf: Copied (new)
2019/06/16 22:58:15 INFO  : reference/ref.fa.amb: Copied (new)
2019/06/16 22:58:16 INFO  : reference/ref.fa.ann: Copied (new)
2019/06/16 22:58:16 INFO  : reference/ref.fa: Copied (new)
2019/06/16 22:58:17 INFO  : reference/ref.fa.fai: Copied (new)
2019/06/16 22:58:17 INFO  : reference/ref.fa.pac: Copied (new)
2019/06/16 22:58:18 INFO  : reference/ref.fa.sa: Copied (new)
2019/06/16 22:58:18 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877098: Waiting for checks to finish
2019/06/16 22:58:18 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877098: Waiting for transfers to finish
2019/06/16 22:58:19 INFO  : reference/ref.txt: Copied (new)
2019/06/16 22:58:20 INFO  : reference/ref.fa.bwt: Copied (new)
2019/06/16 22:58:20 INFO  : reference/snpeff.config: Copied (new)
2019/06/16 22:58:20 INFO  : reference/ref.gff: Copied (new)
2019/06/16 22:58:21 INFO  : reference/ref/genes.gff.gz: Copied (new)
2019/06/16 22:58:21 INFO  : reference/ref/snpEffectPredictor.bin: Copied (new)
2019/06/16 22:58:22 INFO  : snps.bam: Copied (new)
2019/06/16 22:58:23 INFO  : reference/genomes/ref.fa: Copied (new)
2019/06/16 22:58:23 INFO  : 
Transferred:   342.102 MBytes (15.601 MBytes/s)
Errors:                 0
Checks:                 0
Transferred:           35
Elapsed time:       21.9s

2019/06/16 22:58:23 DEBUG : 21 go routines active
2019/06/16 22:58:23 DEBUG : rclone: Version "v1.41" finishing with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877098" "./SAMEA1877098" "-vv"]
2019/06/16 22:58:23 DEBUG : rclone: Version "v1.41" starting with parameters ["rclone" "copy" "onedrive-em:africanum_analysis/snippy/SAMEA1877101" "./SAMEA1877101" "-vv"]
2019/06/16 22:58:23 DEBUG : Using config file from "/root/.config/rclone/rclone.conf"
2019/06/16 22:58:25 INFO  : Local file system at /biodragon/vagrantBox/africanum_analysis/lab/SAMEA1877101: Modify window is 1s
2019/06/16 22:58:26 INFO  : snps.bed: Copied (new)
2019/06/16 22:58:26 INFO  : snps.bam.bai: Copied (new)
2019/06/16 22:58:29 INFO  : snps.aligned.fa: Copied (new)
2019/06/16 22:58:30 INFO  : snps.consensus.fa: Copied (new)
2019/06/16 22:58:30 INFO  : snps.consensus.subs.fa: Copied (new)
2019/06/16 22:58:30 INFO  : snps.csv: Copied (new)
2019/06/16 22:58:30 INFO  : snps.depth.gz.tbi: Copied (new)
2019/06/16 22:58:31 INFO  : snps.filt.subs.vcf: Copied (new)
2019/06/16 22:58:31 INFO  : snps.filt.subs.vcf.gz: Copied (new)
2019/06/16 22:58:32 INFO  : snps.filt.subs.vcf.gz.tbi: Copied (new)
2019/06/16 22:58:32 INFO  : snps.filt.vcf: Copied (new)
2019/06/16 22:58:33 INFO  : snps.gff: Copied (new)
